   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
       16    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
       20    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
       12    0.000    0.000    0.000    0.000 {built-in method from_bytes}
 12078162    3.430    0.000    3.430    0.000 {method 'add' of 'set' objects}
       16    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
       24    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
        4    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      136    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       16    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       68    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
   185110    0.092    0.000    0.092    0.000 {method 'rpartition' of 'str' objects}
      501    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       56    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       86    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {built-in method msvcrt.open_osfhandle}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.001    0.001 {built-in method builtins.__import__}
       16    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      4/3    0.000    0.000    0.002    0.001 {built-in method builtins.exec}
      262    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      305    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
  6648936    1.072    0.000    1.072    0.000 {built-in method builtins.isinstance}
  6330910    1.061    0.000    1.061    0.000 {built-in method builtins.len}
       16    0.000    0.000    0.000    0.000 {built-in method builtins.max}
    65536    0.016    0.000    0.016    0.000 {built-in method builtins.min}
      160    0.000    0.000    0.002    0.000 {built-in method builtins.next}
       33    0.003    0.000    0.003    0.000 {built-in method builtins.print}
       32    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
